OrganisationUnitID,ParentID,Code,ShortName,Name,Comment,Coordinate,Latitude,Longitude,FeatureType,URL,ContactPersion,Address,Email,PhoneNumber,Description,OpeningDate,ClosedDate,LastUpdated,Created,UID,UUID,UserID,Disabled,Type
15,1,,Tỉnh Yên Bái,Tỉnh Yên Bái,,,,,,,,,,,,,,,,,,,,
136,15,,Huyện Văn Yên,Huyện Văn Yên,,,,,,,,,,,,,,,,,,,,
4375,136,,Thị trấn Mậu A,Thị trấn Mậu A,,,,,,,,,,,,,,,,,,,,
4378,136,,Xã Lang Thíp,Xã Lang Thíp,,,,,,,,,,,,,,,,,,,,
4381,136,,Xã Lâm Giang,Xã Lâm Giang,,,,,,,,,,,,,,,,,,,,
4384,136,,Xã Châu Quế Thượng,Xã Châu Quế Thượng,,,,,,,,,,,,,,,,,,,,
4387,136,,Xã Châu Quế Hạ,Xã Châu Quế Hạ,,,,,,,,,,,,,,,,,,,,
4390,136,,Xã An Bình,Xã An Bình,,,,,,,,,,,,,,,,,,,,
4393,136,,Xã Quang Minh,Xã Quang Minh,,,,,,,,,,,,,,,,,,,,
4396,136,,Xã Đông An,Xã Đông An,,,,,,,,,,,,,,,,,,,,
4399,136,,Xã Đông Cuông,Xã Đông Cuông,,,,,,,,,,,,,,,,,,,,
4402,136,,Xã Phong Dụ Hạ,Xã Phong Dụ Hạ,,,,,,,,,,,,,,,,,,,,
4405,136,,Xã Mậu Đông,Xã Mậu Đông,,,,,,,,,,,,,,,,,,,,
4408,136,,Xã Ngòi A,Xã Ngòi A,,,,,,,,,,,,,,,,,,,,
4411,136,,Xã Xuân Tầm,Xã Xuân Tầm,,,,,,,,,,,,,,,,,,,,
4414,136,,Xã Tân Hợp,Xã Tân Hợp,,,,,,,,,,,,,,,,,,,,
4417,136,,Xã An Thịnh,Xã An Thịnh,,,,,,,,,,,,,,,,,,,,
4420,136,,Xã Yên Thái,Xã Yên Thái,,,,,,,,,,,,,,,,,,,,
4423,136,,Xã Phong Dụ Thượng,Xã Phong Dụ Thượng,,,,,,,,,,,,,,,,,,,,
4426,136,,Xã Yên Hợp,Xã Yên Hợp,,,,,,,,,,,,,,,,,,,,
4429,136,,Xã Đại Sơn,Xã Đại Sơn,,,,,,,,,,,,,,,,,,,,
4432,136,,Xã Yên Hưng,Xã Yên Hưng,,,,,,,,,,,,,,,,,,,,
4435,136,,Xã Đại Phác,Xã Đại Phác,,,,,,,,,,,,,,,,,,,,
4438,136,,Xã Yên Phú,Xã Yên Phú,,,,,,,,,,,,,,,,,,,,
4441,136,,Xã Xuân Ái,Xã Xuân Ái,,,,,,,,,,,,,,,,,,,,
4444,136,,Xã Hoàng Thắng,Xã Hoàng Thắng,,,,,,,,,,,,,,,,,,,,
4447,136,,Xã Viễn Sơn,Xã Viễn Sơn,,,,,,,,,,,,,,,,,,,,
4450,136,,Xã Mỏ Vàng,Xã Mỏ Vàng,,,,,,,,,,,,,,,,,,,,
4453,136,,Xã Nà Hẩu,Xã Nà Hẩu,,,,,,,,,,,,,,,,,,,,
132,15,,Thành phố Yên Bái,Thành phố Yên Bái,,,,,,,,,,,,,,,,,,,,
4249,132,,Phường Yên Thịnh,Phường Yên Thịnh,,,,,,,,,,,,,,,,,,,,
4252,132,,Phường Yên Ninh,Phường Yên Ninh,,,,,,,,,,,,,,,,,,,,
4255,132,,Phường Minh Tân,Phường Minh Tân,,,,,,,,,,,,,,,,,,,,
4258,132,,Phường Nguyễn Thái Học,Phường Nguyễn Thái Học,,,,,,,,,,,,,,,,,,,,
4261,132,,Phường Đồng Tâm,Phường Đồng Tâm,,,,,,,,,,,,,,,,,,,,
4264,132,,Phường Nguyễn Phúc,Phường Nguyễn Phúc,,,,,,,,,,,,,,,,,,,,
